date,version,edition,scale,memory,price
2007-06-29,,,,4,499.00
2007-06-29,,,,8,599.00
2008-07-11,3G,,,8,199.00
2008-07-11,3G,,,16,299.00
2009-06-19,3G,S,,16,199.00
2009-06-19,3G,S,,32,299.00
2010-06-24,4,,,16,199.00
2010-06-24,4,,,32,299.00
2011-10-14,4,S,,16,199.00
2011-10-14,4,S,,32,299.00
2011-10-14,4,S,,64,399.00
2012-09-21,5,,,16,199.00
2012-09-21,5,,,32,299.00
2012-09-21,5,,,64,399.00
2013-09-20,5,S,,16,199.00
2013-09-20,5,S,,32,299.00
2013-09-20,5,S,,64,399.00
2013-09-20,5,C,,16,99.00
2013-09-20,5,C,,32,199.00
2014-09-19,6,,,16,199.00
2014-09-19,6,,,64,299.00
2014-09-19,6,,,128,399.00
2014-09-19,6,,Plus,16,299.00
2014-09-19,6,,Plus,64,399.00
2014-09-19,6,,Plus,128,499.00
2015-09-25,6,S,,16,199.00
2015-09-25,6,S,,64,299.00
2015-09-25,6,S,,128,399.00
2015-09-25,6,S,Plus,16,299.00
2015-09-25,6,S,Plus,64,399.00
2015-09-25,6,S,Plus,128,499.00
2016-09-16,7,,,32,649.00
2016-09-16,7,,,128,749.00
2016-09-16,7,,,256,849.00
2016-09-16,7,,Plus,32,769.00
2016-09-16,7,,Plus,128,869.00
2016-09-16,7,,Plus,256,969.00
2017-09-22,8,,,64,699.00
2017-09-22,8,,,256,849.00
2017-09-22,8,,Plus,64,799.00
2017-09-22,8,,Plus,256,949.00
2017-11-03,X,,,64,999.00
2017-11-03,X,,,256,1149.00
2018-09-21,X,S,,64,999.00
2018-09-21,X,S,,256,1149.00
2018-09-21,X,S,,512,1349.00
2018-09-21,X,S,Max,64,1099.00
2018-09-21,X,S,Max,256,1249.00
2018-09-21,X,S,Max,512,1449.00
2018-10-26,X,R,,64,749.00
2018-10-26,X,R,,128,799.00
2018-10-26,X,R,,256,899.00
2019-09-20,11,,,64,699.00
2019-09-20,11,,,128,749.00
2019-09-20,11,,,256,849.00
2019-09-20,11,Pro,,64,849.00
2019-09-20,11,Pro,,256,1149.00
2019-09-20,11,Pro,,512,1349.00
2019-09-20,11,Pro,Max,64,1099.00
2019-09-20,11,Pro,Max,256,1249.00
2019-09-20,11,Pro,Max,512,1449.00
2020-10-23,12,,,64,799.00
2020-10-23,12,,,128,849.00
2020-10-23,12,,,256,949.00
2020-10-23,12,Pro,,128,949.00
2020-10-23,12,Pro,,256,1099.00
2020-10-23,12,Pro,,512,1299.00
2020-11-13,12,,Mini,64,699.00
2020-11-13,12,,Mini,128,749.00
2020-11-13,12,,Mini,256,849.00
2020-11-13,12,Pro,Max,128,1099.00
2020-11-13,12,Pro,Max,256,1199.00
2020-11-13,12,Pro,Max,512,1399.00
2021-09-24,13,,Mini,128,699.00
2021-09-24,13,,Mini,256,799.00
2021-09-24,13,,Mini,512,999.00
2021-09-24,13,,,128,799.00
2021-09-24,13,,,256,899.00
2021-09-24,13,,,512,1099.00
2021-09-24,13,Pro,,128,999.00
2021-09-24,13,Pro,,256,1099.00
2021-09-24,13,Pro,,512,1299.00
2021-09-24,13,Pro,,1024,1499.00
2021-09-24,13,Pro,Max,128,1099.00
2021-09-24,13,Pro,Max,256,1199.00
2021-09-24,13,Pro,Max,512,1399.00
2021-09-24,13,Pro,Max,1024,1599.00
2022-09-16,14,,,128,799.00
2022-09-16,14,,,256,899.00
2022-09-16,14,,,512,999.00
2022-10-07,14,,Plus,128,899.00
2022-10-07,14,,Plus,256,999.00
2022-10-07,14,,Plus,512,1099.00
2022-09-16,14,Pro,,128,999.00
2022-09-16,14,Pro,,256,1099.00
2022-09-16,14,Pro,,512,1299.00
2022-09-16,14,Pro,,1024,1499.00
2022-09-16,14,Pro,Max,128,1099.00
2022-09-16,14,Pro,Max,256,1199.00
2022-09-16,14,Pro,Max,512,1399.00
2022-09-16,14,Pro,Max,1024,1599.00
2023-09-22,15,,,128,799.00
2023-09-22,15,,,256,899.00
2023-09-22,15,,,512,1099.00
2023-09-22,15,,Plus,128,899.00
2023-09-22,15,,Plus,256,999.00
2023-09-22,15,,Plus,512,1199.00
2023-09-22,15,Pro,,128,999.00
2023-09-22,15,Pro,,256,1099.00
2023-09-22,15,Pro,,512,1299.00
2023-09-22,15,Pro,,1024,1499.00
2023-09-22,15,Pro,Max,256,1199.00
2023-09-22,15,Pro,Max,512,1399.00
2023-09-22,15,Pro,Max,1024,1599.00
